y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
0,0.500259078211969,0,1,0,0.66953099656428,2,1.2,0.500259078211969,NaN,-0.15
0,0.738617544167697,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
472,0.207652343830046,0,1,0,0.715871126235318,1,1.2,0.207652343830046,NaN,-0.15
339.862807671572,0.475862068965517,1,0.561109637840186,3,0.438890362159814,3,0.673331565408224,0.475862068965517,NaN,0.75
392,0.202015289921615,0,1,0,0.471448505294167,3,1.2,0.202015289921615,NaN,-0.15
-424,0.678554284511806,0,1,0,0.749829872124337,1,1.2,0.678554284511806,NaN,-0.15
-688,0.814393958866145,0,1,0,0.965900329180711,3,1.2,0.814393958866145,NaN,-0.15
-312,0.673814449664671,0,1,0,0.694912088301693,1,1.2,0.673814449664671,NaN,-0.15
-400,0.565898370396696,1,0.707861083402962,2,0.292138916597038,2,0.849433300083555,0.565898370396696,NaN,0.45
-248,0.711560452603374,1,0.310411723723273,1,0.689588276276727,1,0.372494068467928,0.711560452603374,NaN,0.15
-224,0.328430703244259,0,1,0,0.626011262758574,1,1.2,0.328430703244259,NaN,-0.15
0,0.771014888686727,0,1,0,0.928851411287818,1,1.2,0.771014888686727,NaN,-0.15
485.83797472831,0.420689655172414,0,1,0,0.772551940545946,1,1.2,0.420689655172414,NaN,-0.15
-104,0.434536621577047,0,1,0,0.436816645216572,3,1.2,0.434536621577047,NaN,-0.15
0,0.367793681132658,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
96,0.559208129071649,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0.562920893406911,1,0.908157929689396,1,0.0918420703106039,1,1.08978951562728,0.562920893406911,NaN,0.15
-608,0.729499401981192,1,0.339774443879574,1,0.660225556120426,1,0.407729332655489,0.729499401981192,NaN,0.15
0,0.692343616725479,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
-504,0.674834242773892,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
0,0.475963606598904,0,1,0,0.954594540774409,3,1.2,0.475963606598904,NaN,-0.15
0,0.980345874016195,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
0,0.797867490936916,1,0.496846593626784,1,0.503153406373216,1,0.596215912352141,0.797867490936916,NaN,0.15
