adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
632,0.658333333333333,1,0.8,3,3,0.96,0.658333333333333,NaN,0.75
720,0.75,1,1,0,3,1.2,0.75,NaN,0
736,0.766666666666667,1,1,0,2,1.2,0.766666666666667,NaN,0
624,0.65,1,1,0,2,1.2,0.65,NaN,0
856,0.891666666666667,1,0.4,2,2,0.48,0.891666666666667,NaN,0.45
960,1,1,1,0,3,1.2,1,NaN,0
960,1,1,1,0,1,1.2,1,NaN,0
888,0.925,1,0.4,3,3,0.48,0.925,NaN,0.75
960,1,1,0.9,2,2,1.08,1,NaN,0.45
824,0.858333333333333,1,0.9,1,1,1.08,0.858333333333333,NaN,0.15
960,1,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
816,0.85,1,1,0,1,1.2,0.85,NaN,0
952,0.991666666666667,1,1,0,3,1.2,0.991666666666667,NaN,0
904,0.941666666666667,1,0.4,1,1,0.48,0.941666666666667,NaN,0.15
672,0.7,1,0.5,1,1,0.6,0.7,NaN,0.15
696,0.725,1,0.6,2,2,0.72,0.725,NaN,0.45
448,0.466666666666667,1,0.7,1,1,0.84,0.466666666666667,NaN,0.15
936,0.975,1,0.3,2,2,0.36,0.975,NaN,0.45
616,0.641666666666667,1,1,0,2,1.2,0.641666666666667,NaN,0
808,0.841666666666667,1,0.2,3,3,0.24,0.841666666666667,NaN,0.75
960,1,1,0.7,1,1,0.84,1,NaN,0.15
712,0.741666666666667,1,1,0,1,1.2,0.741666666666667,NaN,0
648,0.675,1,1,0,3,1.2,0.675,NaN,0
960,1,1,0.7,1,1,0.84,1,NaN,0.15
904,0.941666666666667,1,0.5,3,3,0.6,0.941666666666667,NaN,0.75
0,0,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
824,0.858333333333333,1,1,0,3,1.2,0.858333333333333,NaN,0
960,1,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
752,0.783333333333333,1,1,0,1,1.2,0.783333333333333,NaN,0
584,0.608333333333333,1,1,0,1,1.2,0.608333333333333,NaN,0
600,0.625,1,1,0,1,1.2,0.625,NaN,0
960,1,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
960,1,1,0.5,1,1,0.6,1,NaN,0.15
960,1,1,1,0,3,1.2,1,NaN,0
912,0.95,1,1,0,1,1.2,0.95,NaN,0
824,0.858333333333333,1,1,0,1,1.2,0.858333333333333,NaN,0
656,0.683333333333333,1,0.5,3,3,0.6,0.683333333333333,NaN,0.75
864,0.9,1,0.8,3,3,0.96,0.9,NaN,0.75
608,0.633333333333333,1,0.9,2,2,1.08,0.633333333333333,NaN,0.45
688,0.716666666666667,1,0.1,1,1,0.12,0.716666666666667,NaN,0.15
896,0.933333333333333,1,0.5,1,1,0.6,0.933333333333333,NaN,0.15
960,1,1,1,0,1,1.2,1,NaN,0
