adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,reward_liquid,monkey_final_bid,task_failure
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
528,0.55,1,0.8,1,1,0.96,0.15,0.55,NaN
-448,-0.466666666666667,1,0.7,2,2,0.84,0.45,-0.466666666666667,NaN
-528,-0.55,1,0.2,2,2,0.24,0.45,-0.55,NaN
-592,-0.616666666666667,1,0.7,1,1,0.84,0.15,-0.616666666666667,NaN
-392,-0.408333333333333,1,0.7,2,2,0.84,0.45,-0.408333333333333,NaN
280,0.291666666666667,1,1,0,1,1.2,0,0.291666666666667,NaN
0,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
-536,-0.558333333333333,1,1,0,3,1.2,0,-0.558333333333333,NaN
-800,-0.833333333333333,1,0.7,2,2,0.84,0.45,-0.833333333333333,NaN
-264,-0.275,1,1,0,1,1.2,0,-0.275,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
-528,-0.55,1,0.9,3,3,1.08,0.75,-0.55,NaN
-848,-0.883333333333333,1,1,0,3,1.2,0,-0.883333333333333,NaN
-632,-0.658333333333333,1,0.3,2,2,0.36,0.45,-0.658333333333333,NaN
-376,-0.391666666666667,1,1,0,3,1.2,0,-0.391666666666667,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
-632,-0.658333333333333,1,1,0,3,1.2,0,-0.658333333333333,NaN
-480,-0.5,1,1,0,1,1.2,0,-0.5,NaN
-696,-0.725,1,0.8,2,2,0.96,0.45,-0.725,NaN
-744,-0.775,1,0.9,3,3,1.08,0.75,-0.775,NaN
-112,-0.116666666666667,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
-728,-0.758333333333333,1,1,0,3,1.2,0,-0.758333333333333,NaN
-656,-0.683333333333333,1,0,2,2,0,0.45,-0.683333333333333,NaN
-616,-0.641666666666667,1,1,0,1,1.2,0,-0.641666666666667,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
-376,-0.391666666666667,1,1,0,2,1.2,0,-0.391666666666667,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
-360,-0.375,1,1,0,1,1.2,0,-0.375,NaN
-792,-0.825,1,1,0,1,1.2,0,-0.825,NaN
480,0.5,1,1,0,2,1.2,0,0.5,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
