adjust,monkey_bid,win,remaining_budget,reward,offer_value,budget_liquid,reward_liquid,monkey_final_bid,task_failure
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
528,0.55,1,1,0,2,1.2,0,0.55,NaN
584,0.608333333333333,1,1,0,1,1.2,0,0.608333333333333,NaN
584,0.608333333333333,1,0.5,3,3,0.6,0.75,0.608333333333333,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
344,0.358333333333333,1,0.3,1,1,0.36,0.15,0.358333333333333,NaN
512,0.533333333333333,1,0.7,1,1,0.84,0.15,0.533333333333333,NaN
528,0.55,1,0.8,2,2,0.96,0.45,0.55,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
424,0.441666666666667,1,1,0,2,1.2,0,0.441666666666667,NaN
632,0.658333333333333,1,0.4,2,2,0.48,0.45,0.658333333333333,NaN
480,0.5,1,0.9,1,1,1.08,0.15,0.5,NaN
496,0.516666666666667,1,1,0,3,1.2,0,0.516666666666667,NaN
424,0.441666666666667,1,1,0,3,1.2,0,0.441666666666667,NaN
392,0.408333333333333,1,0.5,2,2,0.6,0.45,0.408333333333333,NaN
504,0.525,1,1,0,2,1.2,0,0.525,NaN
504,0.525,1,1,0,2,1.2,0,0.525,NaN
608,0.633333333333333,1,1,0,3,1.2,0,0.633333333333333,NaN
528,0.55,1,1,0,3,1.2,0,0.55,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
448,0.466666666666667,1,1,0,3,1.2,0,0.466666666666667,NaN
504,0.525,1,0.3,2,2,0.36,0.45,0.525,NaN
480,0.5,1,1,0,3,1.2,0,0.5,NaN
528,0.55,1,1,0,1,1.2,0,0.55,NaN
504,0.525,1,0.3,1,1,0.36,0.15,0.525,NaN
896,0.933333333333333,1,1,0,1,1.2,0,0.933333333333333,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
736,0.766666666666667,1,0.3,3,3,0.36,0.75,0.766666666666667,NaN
504,0.525,1,0.3,1,1,0.36,0.15,0.525,NaN
392,0.408333333333333,1,0.2,2,2,0.24,0.45,0.408333333333333,NaN
400,0.416666666666667,1,0.7,1,1,0.84,0.15,0.416666666666667,NaN
552,0.575,1,1,0,1,1.2,0,0.575,NaN
552,0.575,1,0.7,1,1,0.84,0.15,0.575,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
712,0.741666666666667,1,1,0,1,1.2,0,0.741666666666667,NaN
608,0.633333333333333,1,1,0,1,1.2,0,0.633333333333333,NaN
552,0.575,1,1,0,3,1.2,0,0.575,NaN
656,0.683333333333333,1,1,0,3,1.2,0,0.683333333333333,NaN
440,0.458333333333333,1,1,0,2,1.2,0,0.458333333333333,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
352,0.366666666666667,1,1,0,1,1.2,0,0.366666666666667,NaN
664,0.691666666666667,1,1,0,3,1.2,0,0.691666666666667,NaN
416,0.433333333333333,1,0.1,3,3,0.12,0.75,0.433333333333333,NaN
608,0.633333333333333,1,1,0,1,1.2,0,0.633333333333333,NaN
576,0.6,1,0.6,3,3,0.72,0.75,0.6,NaN
560,0.583333333333333,1,1,0,1,1.2,0,0.583333333333333,NaN
632,0.658333333333333,1,0,3,3,0,0.75,0.658333333333333,NaN
536,0.558333333333333,1,0.1,1,1,0.12,0.15,0.558333333333333,NaN
0,0,NaN,NaN,NaN,3,NaN,NaN,NaN,no_fixation
504,0.525,1,1,0,2,1.2,0,0.525,NaN
552,0.575,1,0.9,3,3,1.08,0.75,0.575,NaN
768,0.8,1,1,0,2,1.2,0,0.8,NaN
576,0.6,1,1,0,1,1.2,0,0.6,NaN
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
0,0,NaN,NaN,NaN,2,NaN,NaN,NaN,no_fixation
344,0.358333333333333,1,1,0,3,1.2,0,0.358333333333333,NaN
312,0.325,1,0.2,3,3,0.24,0.75,0.325,NaN
0,0,NaN,NaN,NaN,1,NaN,NaN,NaN,no_fixation
264,0.275,1,1,0,2,1.2,0,0.275,NaN
