adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
280,0.12,0,0.9,0.291666666666667,1,0.15,NaN,1
-632,0.12,1,0.9,-0.658333333333333,3,0.75,NaN,1
0,NaN,1,0.3,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.5,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.6,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.1,NaN,1,NaN,joystick_not_stationary,NaN
-576,1.2,0,1,-0.6,3,0,NaN,1
-552,1.2,0,0.8,-0.575,2,0,NaN,1
-624,0.72,1,0.4,-0.65,3,0.75,NaN,1
-600,1.2,0,0.7,-0.625,1,0,NaN,1
-504,1.2,0,0.5,-0.525,3,0,NaN,1
-648,1.2,0,0.4,-0.675,2,0,NaN,1
-600,1.2,0,0.9,-0.625,1,0,NaN,1
-512,0.48,1,0.6,-0.533333333333333,2,0.45,NaN,1
0,NaN,0,0.5,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.2,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,1,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.2,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.3,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.9,NaN,3,NaN,joystick_not_stationary,NaN
