adjust,budget_liquid,bundle_position,bundle_water,monkey_final_bid,offer_value,reward_liquid,task_failure,win
396,0.48,0,0.6,0.4125,3,0.75,NaN,1
348,1.2,1,0.2,0.3625,1,0,NaN,1
356,0.24,0,0.8,0.370833333333333,2,0.45,NaN,1
344,1.2,1,0.9,0.358333333333333,2,0,NaN,1
304,1.2,1,0.2,0.316666666666667,2,0,NaN,1
332,0.12,0,0.9,0.345833333333333,1,0.15,NaN,1
424,0.12,0,0.9,0.441666666666667,2,0.45,NaN,1
356,1.2,1,1,0.370833333333333,1,0,NaN,1
460,0.48,0,0.6,0.479166666666667,2,0.45,NaN,1
288,1.2,1,0.3,0.3,3,0,NaN,1
396,1.2,1,0.4,0.4125,3,0,NaN,1
464,1.2,1,0.1,0.483333333333333,1,0,NaN,1
608,1.2,1,0.3,0.633333333333333,1,0,NaN,1
548,1.08,0,0.1,0.570833333333333,3,0.75,NaN,1
528,0.72,0,0.4,0.55,1,0.15,NaN,1
544,0,0,1,0.566666666666667,1,0.15,NaN,1
380,0.96,0,0.2,0.395833333333333,2,0.45,NaN,1
528,1.2,1,0.9,0.55,1,0,NaN,1
720,0.12,0,0.9,0.75,2,0.45,NaN,1
324,0.6,0,0.5,0.3375,3,0.75,NaN,1
548,0.48,0,0.6,0.570833333333333,1,0.15,NaN,1
448,0.48,0,0.6,0.466666666666667,2,0.45,NaN,1
460,0.24,0,0.8,0.479166666666667,3,0.75,NaN,1
484,0.24,0,0.8,0.504166666666667,3,0.75,NaN,1
744,0.84,0,0.3,0.775,3,0.75,NaN,1
412,1.2,1,0.5,0.429166666666667,3,0,NaN,1
456,1.2,1,0.9,0.475,2,0,NaN,1
416,1.2,1,0.9,0.433333333333333,2,0,NaN,1
520,0.84,0,0.3,0.541666666666667,3,0.75,NaN,1
344,0.48,0,0.6,0.358333333333333,1,0.15,NaN,1
