adjust,budget_liquid,bundle_position,bundle_water_perc,monkey_final_bid,offer_value,reward_liquid,task_failure,win
332.20763230196,0.84,0,0.3,0.346049616981208,1,0.15,NaN,1
247.452516778012,1.2,1,0.3,0.257763038310429,2,0,NaN,1
-268.164690412065,1.08,1,0.1,-0.279338219179235,1,0.15,NaN,1
0,NaN,0,0.5,NaN,3,NaN,no_bid,NaN
305.829872528443,0.96,0,0.2,0.318572783883795,2,0.45,NaN,1
-330.723549164036,1.2,0,0.7,-0.344503697045871,1,0,NaN,1
-231.349637802913,1.2,0,0.3,-0.240989206044701,1,0,NaN,1
249.016899973873,0.96,0,0.2,0.259392604139451,2,0.45,NaN,1
-392.644623559942,0.48,1,0.6,-0.409004816208273,1,0.15,NaN,1
218.133063426483,1.2,1,0.8,0.227221941069253,2,0,NaN,1
-323.662152743597,1.2,0,0.6,-0.33714807577458,2,0,NaN,1
308.373298094425,1.08,0,0.1,0.321222185515026,1,0.15,NaN,1
-428.999062983584,0.6,1,0.5,-0.446874023941233,3,0.75,NaN,1
0,NaN,1,1,NaN,3,NaN,no_bid,NaN
0,NaN,0,0.5,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,1,0.7,NaN,2,NaN,joystick_not_stationary,NaN
269.275880077263,1.2,1,0.8,0.280495708413815,2,0,NaN,1
0,NaN,1,0.2,NaN,3,NaN,no_bid,NaN
372.875065067126,1.2,1,0.3,0.38841152611159,3,0,NaN,1
0,NaN,1,1,NaN,2,NaN,no_bid,NaN
-232.555437826489,1.08,1,0.1,-0.242245247735926,3,0.75,NaN,1
358.1365498446,0.36,0,0.7,0.373058906088125,2,0.45,NaN,1
-207.184905365265,0.96,1,0.2,-0.215817609755484,3,0.75,NaN,1
214.89928515929,1.2,1,0.5,0.223853422040927,1,0,NaN,1
308.069648637159,0.36,0,0.7,0.320905883997041,1,0.15,NaN,1
-179.374980552936,1.08,1,0.1,-0.186848938075975,1,0.15,NaN,1
-286.035854335463,1.2,0,0.3,-0.297954014932774,3,0,NaN,1
0,NaN,0,0.7,NaN,3,NaN,no_bid,NaN
