adjust,budget_liquid,bundle_position,bundle_water_perc,monkey_final_bid,offer_value,reward_liquid,task_failure,win
-376.83962265208,0.12,1,0.9,-0.392541273595916,1,0.15,NaN,1
-366.192647233044,1.2,0,0.6,-0.381450674201087,3,0,NaN,1
375.195425138684,1.2,1,0.8,0.390828567852796,2,0,NaN,1
410.258906481227,1.2,1,0.7,0.427353027584612,2,0,NaN,1
-328.704497287808,1.2,0,0.6,-0.342400518008133,3,0,NaN,1
-332.870368921144,1.2,0,0.5,-0.346739967626191,3,0,NaN,1
-340.135664399557,0.12,1,0.9,-0.354307983749539,3,0.75,NaN,1
-398.106152586947,1.2,0,0.8,-0.414693908944737,2,0,NaN,1
-335.618109553234,0.12,1,0.9,-0.349602197451286,2,0.45,NaN,1
-496.713818872243,1.2,0,0.2,-0.51741022799192,2,0,NaN,1
-566.640709952432,1.2,0,0.9,-0.590250739533784,3,0,NaN,1
-462.241780257536,1.2,0,0.7,-0.481501854434934,2,0,NaN,1
-402.329331683668,1.2,0,0.2,-0.419093053837154,2,0,NaN,1
-472.934448076927,1.2,0,0.4,-0.492640050080132,2,0,NaN,1
-519.327298700405,0.6,1,0.5,-0.540965936146255,3,0.75,NaN,1
368.120832636325,1.2,1,0.7,0.383459200662839,2,0,NaN,1
-433.408633266904,1.2,0,0.5,-0.451467326319691,3,0,NaN,1
-446.500891906114,1.2,0,0.3,-0.465105095735536,3,0,NaN,1
-423.849852582049,1.2,0,0.8,-0.441510263106301,1,0,NaN,1
-429.313475686378,1.2,0,0.4,-0.447201537173311,1,0,NaN,1
512.732342542577,1.2,1,0.9,0.534096190148517,2,0,NaN,1
-486.425734053913,1.2,0,0.3,-0.506693472972826,2,0,NaN,1
-399.04869510908,1.2,0,0.6,-0.415675724071958,1,0,NaN,1
0,NaN,1,0.4,NaN,1,NaN,no_bid,NaN
295.142091382664,1.2,1,0.3,0.307439678523609,1,0,NaN,1
302.747888129512,1.2,1,0.6,0.315362383468242,1,0,NaN,1
-366.224952538164,1.2,0,0.8,-0.381484325560588,1,0,NaN,1
401.416785676585,1.2,1,1,0.418142485079776,1,0,NaN,1
489.046834190718,1.2,1,0.4,0.509423785615331,2,0,NaN,1
-334.00061633431,1.2,0,0.5,-0.347917308681573,2,0,NaN,1
-475.339706703746,1.2,0,0.4,-0.495145527816402,1,0,NaN,1
-413.921940736331,1.2,0,0.2,-0.431168688267011,1,0,NaN,1
-495.021516806319,1.2,0,1,-0.515647413339915,1,0,NaN,1
482.083186367371,1.2,1,0.5,0.502169985799345,2,0,NaN,1
270.330851590258,1.2,1,0.9,0.281594637073186,1,0,NaN,1
-400.456035603258,1.2,0,0.7,-0.417141703753394,2,0,NaN,1
-501.802084272905,1.2,0,0.1,-0.522710504450943,1,0,NaN,1
228.136690159684,1.2,1,0.7,0.237642385583004,2,0,NaN,1
-339.732460733421,1.2,0,0.8,-0.353887979930647,3,0,NaN,1
249.225070440734,1.2,1,0.4,0.259609448375764,3,0,NaN,1
328.653273287844,1.2,1,0.8,0.342347159674837,3,0,NaN,1
444.625646456317,1.2,1,0.2,0.463151715058664,2,0,NaN,1
-437.517731123245,1.2,0,0.5,-0.455747636586713,3,0,NaN,1
536.657604911402,1.2,1,0.3,0.559018338449378,2,0,NaN,1
322.372509904773,1.08,0,0.1,0.335804697817471,3,0.75,NaN,1
393.497562245586,1.2,1,0.8,0.409893294005819,1,0,NaN,1
-367.152613301136,1.2,0,0.8,-0.38245063885535,1,0,NaN,1
-379.264953295303,1.2,0,0.6,-0.395067659682607,1,0,NaN,1
-445.049490512264,1.2,0,0.5,-0.463593219283608,3,0,NaN,1
-384.375710235684,1.2,0,0.4,-0.400391364828837,1,0,NaN,1
412.843005696042,1.2,1,1,0.430044797600044,2,0,NaN,1
-472.403522799682,1.2,0,0.4,-0.492087002916335,3,0,NaN,1
447.821856713874,1.2,1,0.5,0.466481100743619,1,0,NaN,1
0,NaN,0,0.4,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.4,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.4,NaN,2,NaN,joystick_not_stationary,NaN
-416.123359901359,1.2,0,0.9,-0.433461833230583,3,0,NaN,1
521.639567710156,1.2,1,0.6,0.543374549698079,2,0,NaN,1
-366.045355946789,1.2,0,1,-0.381297245777906,3,0,NaN,1
0,NaN,1,0.7,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.6,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.3,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.8,NaN,2,NaN,joystick_not_stationary,NaN
-363.45895514628,1.2,0,0.4,-0.378603078277375,1,0,NaN,1
349.45675479037,0.48,0,0.6,0.364017452906636,3,0.75,NaN,1
372.135063385509,1.2,1,0.8,0.387640691026572,1,0,NaN,1
540.989988800164,1.2,1,0.3,0.563531238333504,2,0,NaN,1
468.266675932603,1.2,1,0.1,0.487777787429794,2,0,NaN,1
541.680905563571,1.2,1,1,0.564250943295386,1,0,NaN,1
-368.244061780438,0,1,1,-0.383587564354623,3,0.75,NaN,1
