adjust,budget_liquid,bundle_position,bundle_water_perc,monkey_final_bid,offer_value,reward_liquid,task_failure,win
0,NaN,0,1,NaN,2,NaN,no_bid,NaN
363.892831510131,0,0,1,0.379055032823053,3,0.75,NaN,1
0,NaN,0,0.4,NaN,3,NaN,joystick_not_stationary,NaN
0,NaN,1,0.2,NaN,2,NaN,no_bid,NaN
523.746463796248,0.6,0,0.5,0.545569233121092,3,0.75,NaN,1
-415.596266917142,0.72,1,0.4,-0.432912778038689,2,0.45,NaN,1
-76.556144109772,NaN,0,0.2,NaN,2,NaN,undefined error - probably missed both choices,NaN
0,NaN,0,0.5,NaN,1,NaN,joystick_not_stationary,NaN
0,NaN,1,0.7,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.4,NaN,2,NaN,joystick_not_stationary,NaN
0,NaN,0,0.6,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.7,NaN,1,NaN,no_bid,NaN
-501.069217835749,0.6,1,0.5,-0.521947101912239,3,0.75,NaN,1
0,NaN,0,0.7,NaN,3,NaN,joystick_not_stationary,NaN
-468.053424832266,1.08,1,0.1,-0.487555650866943,3,0.75,NaN,1
350.083106580983,1.08,0,0.1,0.364669902688524,2,0.45,NaN,1
0,NaN,1,0.6,NaN,1,NaN,no_bid,NaN
0,NaN,0,0.5,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.1,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.2,NaN,2,NaN,no_bid,NaN
0,NaN,1,1,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.1,NaN,2,NaN,no_bid,NaN
0,NaN,1,0.6,NaN,2,NaN,no_bid,NaN
0,NaN,1,1,NaN,2,NaN,no_bid,NaN
-488.221609913619,0.6,1,0.5,-0.508564176993353,3,0.75,NaN,1
-471.726144518557,0.48,1,0.6,-0.491381400540164,3,0.75,NaN,1
0,NaN,1,0.5,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.9,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.8,NaN,2,NaN,no_bid,NaN
0,NaN,1,0.9,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.2,NaN,1,NaN,no_bid,NaN
-361.40373329086,1.08,1,0.1,-0.376462222177979,2,0.45,NaN,1
425.044860970472,0.84,0,0.3,0.442755063510908,3,0.75,NaN,1
417.504843522075,1.2,1,0.9,0.434900878668828,1,0,NaN,1
448.65945656575,0.96,0,0.2,0.467353600589323,1,0.15,NaN,1
0,NaN,0,0.4,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.9,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.3,NaN,2,NaN,no_bid,NaN
0,NaN,1,0.9,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.7,NaN,3,NaN,no_bid,NaN
0,NaN,1,1,NaN,1,NaN,no_bid,NaN
0,NaN,0,0.8,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.7,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.4,NaN,1,NaN,no_bid,NaN
0,NaN,1,0.3,NaN,2,NaN,no_bid,NaN
0,NaN,0,0.3,NaN,3,NaN,no_bid,NaN
0,NaN,0,1,NaN,3,NaN,no_bid,NaN
0,NaN,0,0.8,NaN,1,NaN,no_bid,NaN
0,NaN,0,1,NaN,2,NaN,no_bid,NaN
