y_adjust,monkey_bid,win,remaining_budget,reward,computer_bid,offer_value,budget_liquid,monkey_final_bid,task_failure,reward_liquid
192,0.241240131241795,0,1,0,0.877802761377554,2,1.2,0.241240131241795,NaN,-0.15
24,0.312222352384545,1,0.860083378283036,3,0.139916621716964,3,1.03210005393964,0.312222352384545,NaN,0.75
-528,0.675061800848247,1,0.582030877645529,2,0.417969122354471,2,0.698437053174635,0.675061800848247,NaN,0.45
136,0.16704393709808,NaN,NaN,NaN,NaN,3,NaN,NaN,no_fixation,NaN
80,0.259767880895687,0,1,0,0.92364146987178,2,1.2,0.259767880895687,NaN,-0.15
104,0.237063778974913,1,0.770393268701887,1,0.229606731298113,1,0.924471922442264,0.237063778974913,NaN,0.15
-344,0.777221354870214,1,0.722175989745528,3,0.277824010254472,3,0.866611187694634,0.777221354870214,NaN,0.75
320,0.122978577945717,0,1,0,0.135841054662371,1,1.2,0.122978577945717,NaN,-0.15
216,0.403781561915061,0,1,0,0.523416724041398,2,1.2,0.403781561915061,NaN,-0.15
-56,0.291072270102284,0,1,0,0.841341633208402,1,1.2,0.291072270102284,NaN,-0.15
704,0.188892688560867,0,1,0,0.57223119524851,3,1.2,0.188892688560867,NaN,-0.15
-39.8860871774687,0.275862068965517,0,1,0,0.381562630577244,2,1.2,0.275862068965517,NaN,-0.15
408,0.421084818143922,1,0.762088994393137,3,0.237911005606863,3,0.914506793271765,0.421084818143922,NaN,0.75
-195.091019153339,0.616091954022989,0,1,0,0.86310211519089,2,1.2,0.616091954022989,NaN,-0.15
-327.17531965424,0.47816091954023,1,0.669498729365071,2,0.330501270634929,2,0.803398475238085,0.47816091954023,NaN,0.45
-48,0.284627965312052,1,0.835544401683786,1,0.164455598316214,1,1.00265328202054,0.284627965312052,NaN,0.15
-160,0.83224685898602,0,1,0,0.84084922638639,1,1.2,0.83224685898602,NaN,-0.15
160,0.277955782738442,0,1,0,0.738660369922873,2,1.2,0.277955782738442,NaN,-0.15
368,0.330709723107451,0,1,0,0.569808772530838,1,1.2,0.330709723107451,NaN,-0.15
520,0.176979203360375,0,1,0,0.965991398937014,3,1.2,0.176979203360375,NaN,-0.15
664,0.230363926403796,0,1,0,0.282286867582944,3,1.2,0.230363926403796,NaN,-0.15
-434.24121767531,0.514942528735632,0,1,0,0.919028098076703,3,1.2,0.514942528735632,NaN,-0.15
136,0.618808178643425,1,0.867042612098425,1,0.132957387901575,1,1.04045113451811,0.618808178643425,NaN,0.15
480,0.200117467932351,0,1,0,0.319820222456404,1,1.2,0.200117467932351,NaN,-0.15
-256,0.693311050911023,1,0.490683399916917,1,0.509316600083083,1,0.5888200799003,0.693311050911023,NaN,0.15
24,0.263067634213906,0,1,0,0.785127073237259,2,1.2,0.263067634213906,NaN,-0.15
-186.234423860934,0.450574712643678,0,1,0,0.857208698224724,3,1.2,0.450574712643678,NaN,-0.15
-144,0.373427201045669,NaN,NaN,NaN,NaN,1,NaN,NaN,no_fixation,NaN
160,0.545215899920809,NaN,NaN,NaN,NaN,2,NaN,NaN,no_fixation,NaN
