y_adjust,monkey_bid,remaining_budget,reward,computer_bid,offer_value,win,budget_liquid,reward_liquid,monkey_final_bid,task_failure
-136,0.546782084260727,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.597949945496633,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.255084485478951,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
80,0.461290735320952,0.789261940813386,1,0.210738059186614,1,1,0.947114328976064,0.15,0.461290735320952,NaN
0,0.423620554058681,1,0,0.60629695248818,2,0,1.2,-0.15,0.423620554058681,NaN
424,0.153415495924942,1,0,0.188154555381584,1,0,1.2,-0.15,0.153415495924942,NaN
312,0.537590671908229,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.122030788317119,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.32723880691149,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.0681053199217967,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.961375140050094,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.759802847813111,0.559539717842663,1,0.440460282157337,1,1,0.671447661411196,0.15,0.759802847813111,NaN
0,0.759855599844864,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.803850893256447,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.00676630353155402,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.741107035633106,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
-112,0.618042628831362,0.480589472267362,2,0.519410527732638,2,1,0.576707366720834,0.45,0.618042628831362,NaN
0,0.280240882300131,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.807612321603104,0.493146107609067,2,0.506853892390933,2,1,0.59177532913088,0.45,0.807612321603104,NaN
0,0.519836295457421,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.64840662772317,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.337478103335233,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.35189337654565,1,0,0.905721088680705,2,0,1.2,-0.15,0.35189337654565,NaN
0,0.227152334667765,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
192,0.346466963773877,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.780435526866961,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.317238875031088,1,0,0.615991005923378,3,0,1.2,-0.15,0.317238875031088,NaN
-719.975728272973,0.908045977011494,0.198032522634894,3,0.801967477365106,3,1,0.237639027161873,0.75,0.908045977011494,NaN
0,0.25842602235338,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
712,0.178075972219814,0.924415076440338,3,0.0755849235596617,3,1,1.10929809172841,0.75,0.178075972219814,NaN
-240,0.731574898061587,1,0,0.76609340031711,2,0,1.2,-0.15,0.731574898061587,NaN
-288,0.582714814277247,1,0,0.778741486151052,3,0,1.2,-0.15,0.582714814277247,NaN
168,0.549526989603243,1,0,0.973886060603442,3,0,1.2,-0.15,0.549526989603243,NaN
0,0.76075597714922,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.513464277153608,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.21332199605226,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
105.877630679888,0.852873563218391,0.899720508299704,1,0.100279491700296,1,1,1.07966460995965,0.15,0.852873563218391,NaN
50.1017475132693,0.0827586206896552,1,0,0.510906116545928,1,0,1.2,-0.15,0.0827586206896552,NaN
-264,0.330106704987763,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.390445189438188,0.93724996392896,2,0.0627500360710396,2,1,1.12469995671475,0.45,0.390445189438188,NaN
-320,0.858144813253578,0.6062625875753,3,0.3937374124247,3,1,0.72751510509036,0.75,0.858144813253578,NaN
-214.819292529931,0.422988505747126,1,0,0.701878229646223,1,0,1.2,-0.15,0.422988505747126,NaN
0,0.776007784581401,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,no_fixation
0,0.625225257991238,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.29170992653053,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.506593970116991,1,0,0.936909053358662,3,0,1.2,-0.15,0.506593970116991,NaN
208,0.320536354663906,1,0,0.709684195886078,3,0,1.2,-0.15,0.320536354663906,NaN
0,0.702363889309655,1,0,0.762562740686156,1,0,1.2,-0.15,0.702363889309655,NaN
-184,0.220457398115211,1,0,0.956593283537212,2,0,1.2,-0.15,0.220457398115211,NaN
-240,0.518621852086314,0.544573843630657,2,0.455426156369343,2,1,0.653488612356789,0.45,0.518621852086314,NaN
0,0.42125555456625,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.619939373485417,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
491.769070620037,0.227586206896552,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
264,0.235921635702509,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.2946967862001,1,0,0.724833445809299,2,0,1.2,-0.15,0.2946967862001,NaN
-496,0.721674714334305,0.953358864493621,2,0.0466411355063794,2,1,1.14403063739234,0.45,0.721674714334305,NaN
0,0.317823123331754,1,0,0.339934795515382,1,0,1.2,-0.15,0.317823123331754,NaN
0,0.295182793004006,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,no_fixation
0,0.789944109368206,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,no_fixation
0,0.281268966283528,1,0,0.967725458921191,2,0,1.2,-0.15,0.281268966283528,NaN
