ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,0,0,1.2,1.20338983050847,NaN,1,NaN,1,2019-04-04,0,2,16:52:47.022,0.508474576271186,1,1,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,0.5,1,1,1.50847457627119,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:52:40.250,1,1,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,2,NaN,2,2019-04-04,0,2,16:52:58.754,0.508474576271186,1,2.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,0.5,1.5,1.5,1.50847457627119,2,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:52:52.363,1,2,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,3,NaN,3,2019-04-04,0,2,16:53:09.539,0.508474576271186,1,4,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,0.5,1.5,1.5,1.50847457627119,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:53:03.135,1,3,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,4,NaN,4,2019-04-04,0,2,16:53:19.970,0.508474576271186,1,4,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:53:13.752,1,4,1,PAV,1,0
3,4,0,0,1.2,1.20338983050847,NaN,5,NaN,5,2019-04-04,0,2,16:53:30.378,0.508474576271186,1,4,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:53:24.138,1,5,1,PAV,2,0
3,4,0,0,1.2,1.20338983050847,NaN,6,NaN,6,2019-04-04,0,2,16:53:41.006,0.508474576271186,1,5.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,0.5,1.5,1.5,1.50847457627119,2,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:53:34.634,1,6,1,PAV,2,0
3,4,0,0,1.2,1.20338983050847,NaN,7,NaN,7,2019-04-04,0,2,16:53:51.371,0.508474576271186,1,5.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:53:45.183,1,7,1,PAV,3,0
3,4,0,0,1.2,1.20338983050847,NaN,8,NaN,8,2019-04-04,0,2,16:54:01.654,0.508474576271186,1,5.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1.5,1.50847457627119,2,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:53:55.486,1,8,1,PAV,4,0
3,4,0,0,1.2,1.20338983050847,NaN,9,NaN,9,2019-04-04,0,2,16:54:12.154,0.508474576271186,1,6.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,0.5,1,1,1.50847457627119,1,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:54:05.768,1,9,1,PAV,4,0
3,4,0,0,1.2,1.20338983050847,NaN,10,NaN,10,2019-04-04,0,2,16:54:22.438,0.508474576271186,1,6.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1.5,1.50847457627119,2,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:54:16.234,1,10,1,PAV,5,0
3,4,0,0,1.2,1.20338983050847,NaN,11,NaN,11,2019-04-04,0,2,16:54:33.070,0.508474576271186,1,8,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,0.5,1.5,1.5,1.50847457627119,2,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:54:26.668,1,11,1,PAV,5,0
3,4,0,0,1.2,1.20338983050847,NaN,12,NaN,12,2019-04-04,0,2,16:54:43.438,0.508474576271186,1,9,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,0.5,1,1,1.50847457627119,1,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:54:37.167,1,12,1,PAV,5,0
3,4,0,0,1.2,1.20338983050847,NaN,13,NaN,13,2019-04-04,0,2,16:54:53.688,0.508474576271186,1,9,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1.5,1.50847457627119,2,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:54:47.518,1,13,1,PAV,6,0
3,4,0,0,1.2,1.20338983050847,NaN,14,NaN,14,2019-04-04,0,2,16:55:04.003,0.508474576271186,1,9,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:54:57.818,1,14,1,PAV,7,0
3,4,0,0,1.2,1.20338983050847,NaN,15,NaN,15,2019-04-04,0,2,16:55:14.319,0.508474576271186,1,9,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:55:08.117,1,15,1,PAV,8,0
