ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,0,0,1.2,1.20338983050847,NaN,1,NaN,1,2019-10-04,0,2,16:11:06.662,0.508474576271186,1,1,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,0.5,1,1,1.50847457627119,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:10:58.643,1,1,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,2,NaN,2,2019-10-04,0,2,16:11:20.743,0.508474576271186,1,3,0,NaN,ordered,1,100,NaN,pavlovian_paid,5,1,2,2,1.50847457627119,5,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:11:11.317,1,2,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,3,NaN,3,2019-10-04,0,2,16:11:33.579,0.508474576271186,1,4.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,4,1,1.5,1.5,1.50847457627119,4,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:11:25.010,1,3,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,4,NaN,4,2019-10-04,0,2,16:11:43.880,0.508474576271186,1,4.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1.5,1.50847457627119,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:11:37.729,1,4,1,PAV,1,0
3,4,0,0,1.2,1.20338983050847,NaN,5,NaN,5,2019-10-04,0,2,16:11:55.731,0.508474576271186,1,5.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,1,1,1.50847457627119,3,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:11:48.047,1,5,1,PAV,1,0
3,4,0,0,1.2,1.20338983050847,NaN,6,NaN,6,2019-10-04,0,2,16:12:06.036,0.508474576271186,1,5.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1,1.50847457627119,1,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:11:59.911,1,6,1,PAV,2,0
3,4,0,0,1.2,1.20338983050847,NaN,7,NaN,7,2019-10-04,0,2,16:12:16.297,0.508474576271186,1,5.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,0.5,0,1.5,1.50847457627119,2,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:12:10.144,1,7,1,PAV,3,0
3,4,0,0,1.2,1.20338983050847,NaN,8,NaN,8,2019-10-04,0,2,16:12:28.133,0.508474576271186,1,6.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,1,1,1.50847457627119,3,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:12:20.395,1,8,1,PAV,3,0
3,4,0,0,1.2,1.20338983050847,NaN,9,NaN,9,2019-10-04,0,2,16:12:41.618,0.508474576271186,1,8.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,5,1,2,2,1.50847457627119,5,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:12:32.210,1,9,1,PAV,3,0
3,4,0,0,1.2,1.20338983050847,NaN,10,NaN,10,2019-10-04,0,2,16:12:54.210,0.508474576271186,1,10,0,NaN,ordered,1,100,NaN,pavlovian_paid,4,1,1.5,1.5,1.50847457627119,4,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,16:12:45.678,1,10,1,PAV,3,0
