ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
4,4,0.638977950805339,0.766773540966407,1.2,1.2,NaN,1,0.361022049194661,1,2019-15-04,0,2,10:26:50.193,0.7,1.03333333333333,1.05,0,0.425301190420438,ordered,1,100,NaN,win_paid,3,1,1.05,1.05,1.5,3,1,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:26:39.250,1,1,1,BDM,0,0.766773540966407
2,4,1,1.2,1.2,1.2,NaN,2,0.620278427071085,2,2019-15-04,0,2,10:27:03.756,0.383333333333333,1,1.05,0,0.366859274549296,ordered,0,100,NaN,lose,0,1,0,0.7,1.5,2,1,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:26:54.014,1,2,1,BDM,1,1.96677354096641
3.08333333333333,4,1,1.2,1.2,1.2,NaN,3,0.811150885100285,3,2019-15-04,0,2,10:27:18.391,0.6,1.11666666666667,1.05,0,0.300859630815818,ordered,0,100,NaN,lose,0,1,0,0.35,1.5,1,1,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:27:08.288,1,3,1,BDM,2,3.16677354096641
3.51666666666667,4,0.980742522585859,1.17689102710303,1.2,1.2,NaN,4,0.0192574774141414,4,2019-15-04,0,2,10:27:33.432,0.516666666666667,1.38333333333333,1.4,0,0.437862683542469,ordered,1,100,NaN,win_paid,1,1,0.35,0.35,1.5,1,2,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:27:23.171,1,4,1,BDM,2,4.34366456806944
3.76666666666667,4,0.9161264917171,1.09935179006052,1.2,1.2,NaN,5,0.0838735082828999,5,2019-15-04,0,2,10:27:49.001,0.416666666666667,1.5,2.45,0,0.408040250193014,ordered,1,100,NaN,win_paid,3,1,1.05,1.05,1.5,3,3,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:27:38.490,1,5,1,BDM,2,5.44301635812996
3.33333333333333,4,1,1.2,1.2,1.2,NaN,6,0.97480166718489,6,2019-15-04,0,2,10:28:03.681,0.383333333333333,1.41666666666667,2.45,0,0.340103784214051,ordered,0,100,NaN,lose,0,1,0,0.7,1.5,2,3,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:27:53.670,1,6,1,BDM,3,6.64301635812996
3.41666666666667,4,NaN,0,1.2,1.2,NaN,7,0.651349532415353,6,2019-15-04,1,11.15,10:28:20.777,0.416666666666667,1.05,2.45,0,NaN,ordered,NaN,85.7142857142857,NaN,fail_monkey_holding_joystick_still,NaN,1,0,0.35,1.5,1,3,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,1,10:28:08.285,1,7,1,BDM,3,6.64301635812996
3.31666666666667,4,1,1.2,1.2,1.2,NaN,8,0.651349532415353,7,2019-15-04,1,2,10:28:34.619,0.433333333333333,0.816666666666667,2.45,0,0.325961851990006,ordered,0,87.5,NaN,lose,0,1,0,0.35,1.5,1,3,0,NaN,NaN,NaN,NaN,0,BDM,NaN,NaN,0,10:28:25.302,1,8,1,BDM,4,7.84301635812996
2.75,4,0.768762183835648,0.922514620602777,1.2,1.2,NaN,9,0.231237816164352,8,2019-15-04,1,2,10:28:48.161,0.416666666666667,0.9,3.15,0,0.264213402154878,ordered,1,88.8888888888889,NaN,win_paid,2,1,0.7,0.7,1.5,2,4,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:28:38.570,1,9,1,BDM,4,8.76553097873274
2,4,1,1.2,1.2,1.2,NaN,10,0.40349114312459,9,2019-15-04,1,2,10:29:00.632,0.316666666666667,0.9,3.15,0,0.325359380154498,ordered,0,90,NaN,lose,0,1,0,1.05,1.5,3,4,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:28:51.320,1,10,1,BDM,5,9.96553097873274
2.85,4,0.87797948174787,1.05357537809744,1.2,1.2,NaN,11,0.12202051825213,10,2019-15-04,1,2,10:29:14.325,0.466666666666667,1,4.2,0,0.396529570096617,ordered,1,90.9090909090909,NaN,win_paid,3,1,1.05,1.05,1.5,3,5,0,NaN,NaN,NaN,NaN,1,BDM,NaN,NaN,0,10:29:04.651,1,11,1,BDM,5,11.0191063568302
