ITI,bidding,budget,budget_liquid,budget_magnitude,budget_payout,budget_value,completed,computer_bid,correct,date,error,error_timeout,finish,fixation,fractal_offer,juice,left,monkey_bid,ordered,paid,percent_correct,primary_side,results,reward,reward_chance,reward_liquid,reward_magnitude,reward_payout,reward_value,rewarded,right,second_budget_value,second_reward_chance,second_reward_magnitude,second_reward_value,starting_bid,subtask,target_box_shift,target_box_size,task_failure,time,trial_end,trial_no,trial_start,type,unrewarded,water
3,4,0,0,1.2,1.20338983050847,NaN,1,NaN,1,2019-11-04,0,2,17:35:44.786,0.508474576271186,1,1,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:35:38.205,1,1,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,2,NaN,2,2019-11-04,0,2,17:35:56.034,0.508474576271186,1,3,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:35:49.539,1,2,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,3,NaN,3,2019-11-04,0,2,17:36:06.734,0.508474576271186,1,4.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:36:00.351,1,3,1,PAV,0,0
3,4,0,0,1.2,1.20338983050847,NaN,4,NaN,4,2019-11-04,0,2,17:36:17.051,0.508474576271186,1,4.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1.5,1.50847457627119,2,3,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:36:10.934,1,4,1,PAV,1,0
3,4,0,0,1.2,1.20338983050847,NaN,5,NaN,5,2019-11-04,0,2,17:36:27.768,0.508474576271186,1,6.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,4,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:36:21.218,1,5,1,PAV,1,0
3,4,0,0,1.2,1.20338983050847,NaN,6,NaN,6,2019-11-04,0,2,17:37:13.900,0.508474576271186,1,7.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,5,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:37:07.618,1,6,1,PAV,1,0
3,4,0,0,1.2,1.20338983050847,NaN,7,NaN,7,2019-11-04,0,2,17:37:24.550,0.508474576271186,1,9.5,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:37:18.066,1,7,1,PAV,1,0
3,4,0,0,1.2,1.20338983050847,NaN,8,NaN,8,2019-11-04,0,2,17:37:34.767,0.508474576271186,1,9.5,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1,1.50847457627119,1,6,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:37:28.650,1,8,1,PAV,2,0
3,4,0,0,1.2,1.20338983050847,NaN,9,NaN,9,2019-11-04,0,2,17:37:45.251,0.508474576271186,1,11,0,NaN,ordered,1,100,NaN,pavlovian_paid,2,1,1.5,1.5,1.50847457627119,2,7,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:37:38.867,1,9,1,PAV,2,0
3,4,0,0,1.2,1.20338983050847,NaN,10,NaN,10,2019-11-04,0,2,17:37:55.834,0.508474576271186,1,13,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,8,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:37:49.350,1,10,1,PAV,2,0
3,4,0,0,1.2,1.20338983050847,NaN,11,NaN,11,2019-11-04,0,2,17:38:06.217,0.508474576271186,1,14,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:37:59.933,1,11,1,PAV,2,0
3,4,0,0,1.2,1.20338983050847,NaN,12,NaN,12,2019-11-04,0,2,17:38:16.450,0.508474576271186,1,14,0,NaN,ordered,0,100,NaN,pavlovian_notpaid,0,1,0,1.5,1.50847457627119,2,9,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:38:10.333,1,12,1,PAV,3,0
3,4,0,0,1.2,1.20338983050847,NaN,13,NaN,13,2019-11-04,0,2,17:38:27.051,0.508474576271186,1,16,0,NaN,ordered,1,100,NaN,pavlovian_paid,3,1,2,2,1.50847457627119,3,10,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:38:20.567,1,13,1,PAV,3,0
3,4,0,0,1.2,1.20338983050847,NaN,14,NaN,14,2019-11-04,0,2,17:38:37.484,0.508474576271186,1,17,0,NaN,ordered,1,100,NaN,pavlovian_paid,1,1,1,1,1.50847457627119,1,11,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,17:38:31.200,1,14,1,PAV,3,0
